Name,Rating,Network,Duration,Aired,NumEpisodes
Misty,8.3,jTBC,70,"Friday, Saturday",16
Voice 3: City of Accomplices,8.3,OCN,60,"Saturday, Sunday",16
Confession,8.3,tvN,60,"Saturday, Sunday",16
Again My Life,8.3,"SBS, ViuTV",65,"Friday, Saturday",16
Money Heist: Korea - Joint Economic Area - Part 1,8.3,Netflix,70,Friday,6
Are You Human Too?,8.3,KBS2,35,"Monday, Tuesday",36
Run On,8.3,"jTBC, Netflix",70,"Wednesday, Thursday",16
The Smile Has Left Your Eyes,8.3,tvN,64,Other,16
Team Bulldog: Off-duty Investigation,8.3,OCN,70,"Saturday, Sunday",12
The Guardians,8.3,MBC,35,"Monday, Tuesday",32
Terius Behind Me,8.3,MBC,35,"Wednesday, Thursday",32
Hyena,8.3,"Netflix, SBS",70,"Friday, Saturday",16
Touch Your Heart,8.3,tvN,70,"Wednesday, Thursday",16
Angry Mom,8.3,MBC,70,"Wednesday, Thursday",16
Welcome 2 Life,8.3,MBC,35,"Monday, Tuesday",32
Suspicious Partner,8.3,SBS,30,"Wednesday, Thursday",40
Mine,8.3,"Netflix, tvN",70,"Saturday, Sunday",16
When the Weather Is Fine,8.3,"jTBC, Viki",60,"Monday, Tuesday",16
Lawless Lawyer,8.3,tvN,66,"Saturday, Sunday",16
Crazy Love,8.3,KBS2,65,"Monday, Tuesday",16
WATCHER,8.3,OCN,65,"Saturday, Sunday",16
Five Enough,8.3,KBS2,70,"Saturday, Sunday",54
Amanza,8.3,Daum Kakao TV,15,Other,10
Light on Me,8.3,Viki,24,Other,16
Bulgasal: Immortal Souls,8.3,"Netflix, tvN",75,"Saturday, Sunday",16
Liar Game,8.3,tvN,63,"Monday, Tuesday",12
Tree With Deep Roots,8.3,SBS,69,"Wednesday, Thursday",24
49 Days,8.3,SBS,70,"Wednesday, Thursday",20
D-Day,8.3,jTBC,65,"Friday, Saturday",20
Awaken,8.3,tvN,70,"Monday, Tuesday",16
Oh My Venus,8.3,KBS2,60,"Monday, Tuesday",16
Leverage,8.3,TV Chosun,60,Other,16
The King's Affection,8.3,"KBS2, Netflix",70,"Monday, Tuesday",20
A Gentleman's Dignity,8.3,SBS,65,"Saturday, Sunday",20
Rookie Historian Goo Hae Ryung,8.3,"MBC, Netflix",35,"Wednesday, Thursday",40
Coffee Prince,8.3,MBC,60,"Monday, Tuesday",17
Ghost,8.3,SBS,65,"Wednesday, Thursday",20
Love Playlist: Season 4,8.3,"Naver TV Cast, vLive",20,Other,16
God's Quiz: Reboot,8.3,OCN,65,"Wednesday, Thursday",16
Missing Noir M,8.3,OCN,70,Other,10
Live Up to Your Name,8.3,tvN,70,"Saturday, Sunday",16
Queen for Seven Days,8.3,KBS2,60,"Wednesday, Thursday",20
Memory,8.3,tvN,65,"Friday, Saturday",16
A Korean Odyssey,8.3,"Netflix, tvN",80,"Saturday, Sunday",20
Voice 4: Judgment Hour,8.3,tvN,63,"Friday, Saturday",14
